Date,Temperature (F),Humidity,Wind Speed (mph),Precipitation (inches),Pressure (mb)
2006-01-01,46.7,79.1,28.9,0.049,1006.6
2006-01-02,43.8,67.0,9.2,0.0,1008.5
2006-01-03,44.8,55.1,8.2,0.0,1016.3
2006-01-04,42.6,53.6,9.1,0.0,1016.9
2006-01-05,41.7,61.6,12.7,0.002,1015.2
2006-01-06,44.1,59.8,18.5,0.003,1017.1
2006-01-07,47.6,54.2,15.5,0.0,1022.2
2006-01-08,45.2,60.6,22.2,0.0,1024.7
2006-01-09,41.5,67.3,9.8,0.0,1026.7
2006-01-10,40.9,68.7,6.8,0.002,1027.8
2006-01-11,38.4,64.1,7.1,0.001,1028.5
2006-01-12,38.3,63.8,6.8,0.002,1027.9
2006-01-13,38.9,67.2,14.3,0.0,1029.5
2006-01-14,38.0,71.0,7.1,0.002,1028.1
2006-01-15,38.5,62.2,18.5,0.0,1025.9
2006-01-16,40.1,61.0,11.5,0.021,1024.1
2006-01-17,41.4,93.6,5.7,0.286,1020.7
2006-01-18,48.4,75.1,19.3,0.009,1009.3
2006-01-19,44.9,78.0,12.3,0.002,1017.4
2006-01-20,44.1,75.4,8.3,0.0,1024.7
2006-01-21,45.5,78.8,10.2,0.0,1018.9
2006-01-22,45.7,65.2,9.8,0.01,1020.2
2006-01-23,40.6,64.1,12.7,0.002,1023.3
2006-01-24,39.3,63.7,8.5,0.0,1028.6
2006-01-25,37.6,65.0,10.2,0.002,1022.7
2006-01-26,35.8,80.7,8.6,0.229,1012.1
2006-01-27,41.8,84.0,17.8,0.396,1013.4
2006-01-28,48.6,77.9,26.6,0.497,1015.8
2006-01-29,49.6,85.0,19.5,1.021,1018.9
2006-01-30,54.4,63.0,20.9,0.045,1016.6
2006-01-31,53.8,66.1,9.2,0.005,1016.5
2006-02-01,50.7,63.3,9.2,0.0,1016.6
2006-02-02,48.1,69.5,9.9,0.001,1014.1
2006-02-03,47.5,77.7,6.2,0.002,1013.5
2006-02-04,47.9,75.5,6.3,0.007,1013.5
2006-02-05,46.8,67.7,12.1,0.002,1017.5
2006-02-06,45.9,64.5,8.6,0.0,1020.8
