Date,Temperature (F),Humidity,Wind Speed (mph),Precipitation (inches),Pressure (mb)
2010-01-01,49.7,82.7,17.2,0.241,991.5
2010-01-02,45.7,37.1,23.5,0.0,1008.2
2010-01-03,39.4,57.1,6.2,0.004,1019.1
2010-01-04,42.4,84.4,7.4,0.173,1013.2
2010-01-05,41.4,87.8,6.0,0.019,1001.9
2010-01-06,38.6,79.8,13.5,0.0,999.6
2010-01-07,38.0,72.5,12.0,0.207,1005.2
2010-01-08,47.2,86.7,10.0,1.074,996.4
2010-01-09,40.6,88.4,12.2,0.877,996.2
2010-01-10,34.4,83.1,7.6,0.011,1008.0
2010-01-11,36.7,79.1,5.7,0.0,1013.8
2010-01-12,38.7,79.2,6.4,0.067,1013.9
2010-01-13,43.8,86.8,9.2,0.268,1008.6
2010-01-14,41.5,88.2,14.4,0.645,1007.5
2010-01-15,46.6,81.8,6.5,0.013,1015.4
2010-01-16,44.7,83.8,6.3,0.0,1023.2
2010-01-17,46.2,85.3,7.0,0.007,1020.6
2010-01-18,42.9,80.2,5.2,0.002,1022.5
2010-01-19,40.8,78.0,6.3,0.002,1021.6
2010-01-20,41.0,79.2,6.3,0.0,1015.6
2010-01-21,43.3,74.1,9.0,0.002,1016.5
2010-01-22,41.7,75.4,7.4,0.002,1020.0
2010-01-23,41.7,79.2,6.3,0.0,1023.2
2010-01-24,44.2,76.5,4.3,0.0,1023.2
2010-01-25,45.1,84.9,7.4,0.111,1023.2
2010-01-26,45.4,74.7,11.0,0.004,1021.1
2010-01-27,43.6,67.7,11.6,0.0,1017.2
2010-01-28,40.9,70.9,9.6,0.0,1005.2
2010-01-29,43.0,61.0,14.8,0.0,997.0
2010-01-30,45.9,50.1,18.0,0.0,991.4
2010-01-31,37.7,46.5,15.5,0.049,1001.7
2010-02-01,38.1,40.1,15.1,0.0,1013.0
2010-02-02,38.3,50.1,6.8,0.0,1020.0
2010-02-03,40.6,59.3,9.5,0.0,1018.4
2010-02-04,44.8,68.9,11.0,0.059,1019.4
2010-02-05,47.9,79.2,18.4,0.931,1010.9
2010-02-06,48.9,59.0,20.2,0.0,1007.0
2010-02-07,45.3,66.4,8.6,0.0,1008.9
2010-02-08,43.7,78.8,7.6,0.029,1006.3
2010-02-09,47.6,69.4,13.1,0.308,999.3
2010-02-10,44.3,69.8,9.2,0.001,994.5
2010-02-11,33.6,73.4,7.3,0.218,993.5
2010-02-12,34.6,68.8,7.7,0.001,1003.3
2010-02-13,35.3,73.7,7.8,0.0,1008.6
2010-02-14,40.8,72.1,6.5,0.01,1007.3
2010-02-15,40.7,74.6,7.2,0.002,1006.0
2010-02-16,46.7,71.5,13.7,0.003,1001.5
2010-02-17,46.8,87.7,8.3,0.803,997.5
2010-02-18,50.1,88.2,8.4,0.051,1001.5
2010-02-19,51.0,83.3,11.7,0.818,989.8
2010-02-20,47.1,49.6,18.7,0.0,997.2
2010-02-21,47.1,58.9,12.7,0.205,1006.7
2010-02-22,47.3,87.3,6.3,0.547,1004.0
2010-02-23,48.6,87.1,6.0,0.34,1002.2
2010-02-24,48.2,84.7,13.1,0.005,1004.5
2010-02-25,51.7,73.5,11.5,0.001,1006.5
2010-02-26,55.5,56.0,18.8,0.007,1003.8
2010-02-27,50.1,55.2,9.4,0.014,1010.7
2010-02-28,55.2,62.1,9.3,0.002,1004.4
2010-03-01,52.8,62.8,13.0,0.0,1010.3
2010-03-02,53.2,55.2,10.8,0.0,1018.0
2010-03-03,48.7,78.0,17.5,0.651,1011.8
2010-03-04,49.7,78.4,11.7,0.029,1004.5
2010-03-05,45.4,73.8,10.5,0.097,1012.7
2010-03-06,44.8,57.0,19.6,0.0,1015.5
2010-03-07,44.8,61.7,15.3,0.031,1013.9
2010-03-08,45.7,41.2,16.3,0.0,1009.1
2010-03-09,43.7,39.1,14.3,0.0,1003.8
2010-03-10,41.4,61.3,8.3,0.001,1007.1
2010-03-11,42.3,62.3,15.7,0.0,1009.8
2010-03-12,41.3,68.1,8.5,0.0,1014.4
2010-03-13,46.2,66.5,12.2,0.0,1019.4
2010-03-14,47.0,67.0,15.2,0.002,1019.1
2010-03-15,49.3,60.2,10.0,0.0,1019.1
2010-03-16,47.6,61.0,10.8,0.0,1023.5
2010-03-17,48.6,71.3,13.9,0.002,1030.0
2010-03-18,48.3,75.1,13.6,0.0,1031.2
2010-03-19,52.9,72.5,11.1,0.0,1028.6
2010-03-20,56.0,75.8,8.8,0.001,1024.6
2010-03-21,55.1,88.7,7.2,0.088,1023.0
2010-03-22,55.9,90.1,7.9,0.322,1020.8
2010-03-23,57.2,78.3,7.8,0.001,1018.9
2010-03-24,55.1,80.2,11.4,0.0,1016.4
2010-03-25,56.8,79.8,14.6,0.002,1016.0
