Date,Temperature (F),Humidity,Wind Speed (mph),Precipitation (inches),Pressure (mb)
2004-01-01,45.5,71.1,13.4,0.041,1009.0
2004-01-02,44.8,73.5,16.1,0.01,1001.7
2004-01-03,44.2,63.8,12.9,0.0,1009.6
2004-01-04,42.7,66.5,13.8,0.0,1012.3
2004-01-05,42.0,61.9,13.8,0.0,1016.5
2004-01-06,43.8,70.7,12.9,0.0,1020.8
2004-01-07,43.7,76.9,8.2,0.001,1019.9
2004-01-08,45.5,75.0,5.9,0.0,1016.9
2004-01-09,48.2,78.1,15.8,0.049,1011.5
2004-01-10,51.4,62.3,16.8,0.002,1013.0
2004-01-11,48.5,70.6,12.0,0.0,1018.7
2004-01-12,54.0,69.6,20.1,0.016,1013.3
2004-01-13,59.4,67.7,29.5,0.004,1005.5
2004-01-14,58.7,53.4,31.1,0.005,1002.8
2004-01-15,50.3,36.4,26.5,0.0,1009.4
2004-01-16,47.1,54.2,15.1,0.0,1012.3
2004-01-17,51.2,70.2,19.9,0.034,1006.0
2004-01-18,46.8,78.2,19.1,0.168,1002.8
2004-01-19,45.8,62.1,16.1,0.0,1013.0
2004-01-20,44.8,64.7,14.3,0.0,1006.5
2004-01-21,47.5,67.7,11.1,0.002,1008.1
2004-01-22,46.2,72.9,13.8,0.0,1014.4
2004-01-23,44.3,79.4,20.3,0.03,1015.4
2004-01-24,43.3,76.7,7.8,0.0,1016.3
2004-01-25,44.4,69.2,12.5,0.0,1010.9
2004-01-26,41.0,80.8,10.9,0.122,1008.3
2004-01-27,42.6,69.0,15.2,0.009,999.9
2004-01-28,42.7,43.2,17.6,0.0,1000.1
2004-01-29,40.7,35.9,25.3,0.001,1005.7
2004-01-30,38.5,46.0,12.0,0.0,1020.5
2004-01-31,41.7,75.9,7.1,0.013,1026.3
2004-02-01,48.0,80.8,8.7,0.007,1027.9
2004-02-02,46.4,80.2,10.6,0.002,1029.4
2004-02-03,45.7,81.4,7.9,0.001,1031.6
2004-02-04,46.0,79.6,8.7,0.0,1034.7
2004-02-05,46.2,82.6,6.8,0.0,1033.1
2004-02-06,48.2,81.2,9.3,0.001,1030.3
2004-02-07,53.7,67.3,17.4,0.0,1021.8
2004-02-08,50.3,50.1,16.0,0.0,1019.0
2004-02-09,48.4,61.1,15.1,0.0,1021.0
2004-02-10,44.8,66.8,7.4,0.0,1027.7
2004-02-11,46.2,63.6,14.0,0.0,1018.3
2004-02-12,47.3,65.5,9.2,0.0,1019.7
2004-02-13,46.6,76.3,8.9,0.001,1027.3
2004-02-14,45.9,78.2,10.6,0.005,1022.5
2004-02-15,45.1,79.3,8.5,0.0,1017.0
2004-02-16,47.8,77.6,7.5,0.0,1020.5
2004-02-17,49.1,75.2,12.5,0.002,1024.4
2004-02-18,46.8,67.7,17.6,0.0,1015.7
2004-02-19,43.1,70.7,15.2,0.016,1006.3
2004-02-20,47.9,69.3,24.2,0.07,1013.5
2004-02-21,51.6,80.3,22.8,0.516,1008.9
2004-02-22,52.3,86.9,10.0,0.27,1005.6
2004-02-23,49.6,71.8,24.9,0.523,1001.5
2004-02-24,43.9,55.4,15.1,0.104,1007.7
2004-02-25,44.4,65.2,12.0,0.0,1010.2
2004-02-26,43.5,79.0,12.2,0.008,999.7
2004-02-27,41.3,49.4,19.2,0.355,993.7
2004-02-28,40.3,53.0,19.1,0.016,996.7
2004-02-29,37.8,63.8,16.6,0.013,1005.8
2004-03-01,38.6,63.4,11.4,0.019,1015.4
2004-03-02,39.9,54.6,12.6,0.001,1023.6
2004-03-03,43.5,56.7,9.5,0.0,1025.5
2004-03-04,46.8,57.3,11.5,0.0,1020.8
2004-03-05,49.8,65.6,9.2,0.0,1017.7
2004-03-06,49.4,79.9,11.4,0.013,1018.6
2004-03-07,48.6,69.9,20.7,0.153,1016.7
2004-03-08,45.7,60.9,13.5,0.006,1015.8
2004-03-09,45.9,57.2,12.1,0.0,1018.4
2004-03-10,45.1,58.8,13.5,0.0,1016.9
2004-03-11,44.1,58.1,11.8,0.0,1014.1
2004-03-12,46.9,68.4,14.0,0.0,1021.3
2004-03-13,52.6,64.6,29.3,0.0,1022.5
2004-03-14,56.0,75.2,13.7,0.0,1028.7
2004-03-15,54.8,74.7,10.6,0.0,1031.8
2004-03-16,53.8,67.1,12.5,0.0,1032.5
2004-03-17,54.5,61.4,8.7,0.001,1030.9
2004-03-18,52.1,73.1,9.7,0.0,1029.0
2004-03-19,52.3,81.1,9.7,0.0,1027.4
2004-03-20,55.8,76.8,11.7,0.006,1023.7
2004-03-21,56.9,70.2,19.6,0.0,1016.8
2004-03-22,55.5,46.0,20.6,0.0,1010.3
2004-03-23,48.2,55.6,15.8,0.008,1003.8
2004-03-24,49.0,53.8,17.9,0.0,1003.3
2004-03-25,48.8,60.3,12.2,0.016,1007.2
2004-03-26,46.5,72.2,11.2,0.002,1007.3
2004-03-27,45.9,69.5,17.9,0.0,1009.8
2004-03-28,49.3,63.5,16.9,0.0,1015.0
2004-03-29,53.7,51.5,24.5,0.0,1014.3
2004-03-30,54.6,61.3,20.0,0.178,1014.0
2004-03-31,53.4,72.5,10.6,0.035,1015.0
2004-04-01,54.5,76.0,9.7,0.044,1013.0
2004-04-02,52.6,81.6,10.6,0.002,1016.8
2004-04-03,54.3,81.5,8.7,0.068,1022.1
2004-04-04,55.1,77.3,12.2,0.0,1023.9
2004-04-05,56.9,71.2,20.0,0.002,1017.1
2004-04-06,57.2,50.1,22.0,0.0,1008.0
2004-04-07,57.4,38.3,21.2,0.0,1005.4
2004-04-08,52.3,49.3,13.9,0.0,1010.6
2004-04-09,47.7,83.3,8.0,0.049,1007.5
2004-04-10,47.8,74.6,10.9,0.0,1007.9
2004-04-11,51.4,67.6,12.2,0.0,1011.8
2004-04-12,53.4,61.6,12.9,0.002,1012.1
2004-04-13,52.2,71.7,10.9,0.016,1012.8
2004-04-14,52.5,75.5,11.6,0.006,1016.9
2004-04-15,52.0,80.6,14.2,0.02,1020.5
2004-04-16,54.1,73.8,30.7,0.273,1013.3
2004-04-17,56.1,74.0,15.6,0.016,1006.5
2004-04-18,55.0,78.3,19.8,0.0,1001.4
2004-04-19,54.2,61.0,24.1,0.031,996.1
2004-04-20,56.4,57.2,14.4,0.0,1005.5
2004-04-21,57.9,62.9,12.1,0.0,1015.4
2004-04-22,55.2,76.5,7.3,0.0,1015.2
2004-04-23,59.5,70.2,9.5,0.0,1013.0
2004-04-24,63.7,60.2,10.2,0.0,1012.2
2004-04-25,61.3,63.4,21.0,0.0,1014.7
2004-04-26,57.5,57.4,8.8,0.0,1016.2
2004-04-27,57.8,56.7,12.6,0.0,1013.9
2004-04-28,57.7,63.3,18.5,0.0,1011.4
2004-04-29,57.9,77.4,26.3,0.544,1005.1
2004-04-30,58.0,87.3,16.6,1.005,1003.0
2004-05-01,57.4,76.1,13.2,0.005,1009.4
2004-05-02,54.6,82.1,11.1,0.066,1010.8
2004-05-03,57.9,77.5,22.0,0.149,1003.7
2004-05-04,57.0,86.8,10.1,0.127,995.9
2004-05-05,56.7,67.8,17.7,0.022,991.3
2004-05-06,55.7,52.8,21.0,0.0,993.4
2004-05-07,55.8,47.5,21.1,0.004,1001.1
2004-05-08,56.2,48.0,24.1,0.0,1005.4
2004-05-09,57.8,54.1,18.2,0.0,1006.7
2004-05-10,56.4,70.2,9.9,0.0,1010.7
2004-05-11,58.3,78.1,13.3,0.009,1015.2
2004-05-12,59.4,77.5,13.8,0.026,1010.0
2004-05-13,59.1,72.0,12.4,0.041,1007.5
2004-05-14,62.6,62.1,8.4,0.0,1015.1
2004-05-15,62.6,68.2,10.9,0.005,1020.8
2004-05-16,63.2,70.9,14.0,0.0,1016.9
2004-05-17,64.7,61.7,14.8,0.0,1021.0
2004-05-18,63.3,61.7,10.4,0.0,1023.4
2004-05-19,64.5,67.8,10.2,0.0,1023.4
2004-05-20,64.2,72.9,10.5,0.0,1021.1
2004-05-21,63.6,71.8,11.0,0.0,1015.8
2004-05-22,63.3,69.6,14.8,0.0,1012.0
2004-05-23,65.0,70.5,15.1,0.0,1013.6
2004-05-24,62.5,65.1,19.5,0.001,1018.4
2004-05-25,63.9,55.6,11.0,0.0,1019.1
2004-05-26,61.8,56.0,13.7,0.0,1017.6
2004-05-27,62.6,65.5,10.7,0.038,1017.9
2004-05-28,63.2,74.2,12.5,0.007,1017.8
2004-05-29,64.6,71.1,9.8,0.003,1020.5
2004-05-30,65.5,68.5,11.1,0.0,1021.5
2004-05-31,66.5,74.5,12.0,0.0,1017.9
2004-06-01,68.9,64.5,20.2,0.002,1015.1
2004-06-02,69.1,67.1,15.6,0.0,1013.7
2004-06-03,69.2,56.8,15.8,0.018,1012.7
2004-06-04,69.9,52.8,11.5,0.0,1013.4
2004-06-05,68.9,66.5,9.3,0.0,1011.1
2004-06-06,68.4,70.2,13.9,0.0,1013.3
2004-06-07,69.5,60.9,9.5,0.0,1020.3
2004-06-08,69.1,59.7,7.3,0.0,1022.6
2004-06-09,71.8,58.0,12.7,0.0,1022.8
2004-06-10,73.1,53.8,11.8,0.0,1022.1
2004-06-11,71.6,61.2,12.7,0.0,1018.9
2004-06-12,74.0,62.2,17.4,0.0,1015.0
2004-06-13,67.3,61.3,17.2,0.575,1015.0
2004-06-14,62.2,73.7,9.6,0.05,1018.8
2004-06-15,67.6,70.9,10.9,0.007,1018.1
2004-06-16,68.0,77.0,11.1,0.002,1013.6
2004-06-17,70.6,73.0,11.1,0.0,1011.1
2004-06-18,74.5,52.1,16.8,0.0,1006.4
2004-06-19,71.4,61.9,14.5,0.003,1004.8
2004-06-20,71.7,45.5,24.0,0.0,1002.2
2004-06-21,70.0,44.1,19.3,0.0,1011.7
2004-06-22,68.1,70.9,12.1,0.0,1018.5
2004-06-23,71.3,71.5,10.8,0.0,1016.7
2004-06-24,73.6,61.5,17.6,0.0,1012.7
2004-06-25,72.1,61.4,12.7,0.0,1013.8
2004-06-26,70.3,70.9,9.8,0.0,1018.9
2004-06-27,72.9,69.6,11.5,0.0,1020.7
2004-06-28,74.2,72.7,12.1,0.0,1020.1
2004-06-29,75.2,71.0,10.5,0.0,1017.3
2004-06-30,75.6,72.9,10.0,0.0,1016.5
2004-07-01,74.9,70.0,13.7,0.0,1013.8
2004-07-02,77.0,48.7,20.5,0.0,1011.0
2004-07-03,74.9,44.9,14.0,0.0,1014.7
2004-07-04,72.6,53.4,11.4,0.0,1017.2
2004-07-05,72.8,61.5,11.3,0.0,1018.7
2004-07-06,75.0,63.8,9.8,0.0,1016.4
2004-07-07,73.1,69.5,15.3,0.037,1014.2
2004-07-08,73.9,70.3,12.9,0.044,1012.8
2004-07-09,73.4,37.1,22.6,0.0,1012.6
2004-07-10,74.2,35.7,23.4,0.0,1012.6
2004-07-11,72.2,42.7,19.7,0.0,1009.9
2004-07-12,69.1,47.6,18.9,0.026,1008.7
2004-07-13,69.6,48.2,11.4,0.0,1011.7
2004-07-14,71.2,50.4,13.1,0.0,1015.9
2004-07-15,71.0,55.9,10.7,0.0,1016.3
