Date,Temperature (F),Humidity,Wind Speed (mph),Precipitation (inches),Pressure (mb)
2012-01-01,48.2,76.8,6.3,0.0,1021.4
2012-01-02,49.7,83.6,9.8,0.06,1018.7
2012-01-03,47.1,63.9,9.7,0.01,1023.3
2012-01-04,47.4,66.8,20.3,0.0,1019.9
2012-01-05,51.8,50.7,24.8,0.005,1010.2
2012-01-06,51.3,28.7,22.7,0.0,1012.6
2012-01-07,44.4,48.7,9.2,0.0,1020.0
2012-01-08,46.5,61.3,10.0,0.0,1016.9
2012-01-09,46.2,57.2,8.7,0.0,1024.3
2012-01-10,44.0,58.7,9.5,0.0,1028.0
2012-01-11,44.6,76.2,6.9,0.0,1032.1
2012-01-12,44.6,76.7,11.7,0.004,1029.2
2012-01-13,45.4,75.4,7.9,0.004,1019.9
2012-01-14,47.5,69.5,7.8,0.0,1018.6
2012-01-15,43.3,73.8,5.6,0.0,1018.3
2012-01-16,44.8,61.9,12.2,0.0,1019.7
2012-01-17,40.8,63.6,6.8,0.0,1026.8
2012-01-18,41.7,73.8,6.7,0.0,1030.8
2012-01-19,43.4,73.8,8.6,0.0,1029.6
2012-01-20,52.5,58.0,21.1,0.004,1018.1
2012-01-21,50.3,63.4,9.9,0.0,1015.8
2012-01-22,50.8,70.8,9.7,0.0,1012.9
2012-01-23,49.8,78.3,6.2,0.004,1013.8
2012-01-24,49.2,62.5,11.3,0.0,1014.4
2012-01-25,45.3,65.1,6.9,0.0,1018.3
2012-01-26,48.3,70.5,4.4,0.0,1018.9
2012-01-27,48.9,76.4,4.6,0.005,1022.2
2012-01-28,45.1,89.3,4.0,0.374,1021.6
2012-01-29,42.4,87.7,6.6,0.371,1016.4
2012-01-30,42.7,87.5,5.7,0.256,1019.4
2012-01-31,36.3,93.4,7.4,1.027,1016.3
2012-02-01,35.4,80.2,6.1,0.018,1011.3
2012-02-02,38.2,68.4,7.9,0.006,1012.0
2012-02-03,35.3,68.1,7.6,0.004,1013.6
2012-02-04,32.8,61.9,8.7,0.001,1017.7
2012-02-05,33.7,63.4,4.9,0.0,1021.6
2012-02-06,33.8,55.5,9.6,0.0,1016.6
2012-02-07,35.4,39.1,7.7,0.005,1010.6
2012-02-08,39.3,46.5,9.6,0.0,1019.1
2012-02-09,39.9,56.4,6.7,0.0,1019.3
2012-02-10,38.1,42.8,10.8,0.0,1015.8
2012-02-11,32.6,49.5,8.0,0.0,1016.5
2012-02-12,33.2,55.3,7.7,0.004,1018.4
2012-02-13,34.6,54.9,10.7,0.001,1018.1
2012-02-14,37.2,61.8,8.6,0.0,1015.1
2012-02-15,40.2,54.1,10.9,0.0,1011.6
2012-02-16,44.9,58.1,9.8,0.0,1013.7
2012-02-17,44.6,70.0,11.0,0.0,1021.6
2012-02-18,45.3,74.2,7.3,0.0,1020.3
2012-02-19,45.8,74.3,10.9,0.004,1018.1
2012-02-20,48.6,67.0,7.1,0.051,1020.1
2012-02-21,46.9,61.3,6.1,0.0,1026.7
2012-02-22,47.6,54.8,6.3,0.0,1024.1
2012-02-23,47.7,54.5,7.3,0.0,1023.2
2012-02-24,48.5,72.3,6.4,0.004,1025.7
2012-02-25,50.7,78.8,9.0,0.0,1021.0
2012-02-26,52.0,75.8,7.8,0.0,1013.6
2012-02-27,49.0,68.0,10.3,0.004,1020.9
2012-02-28,48.3,73.8,12.1,0.0,1022.6
2012-02-29,49.2,76.3,9.6,0.004,1021.0
2012-03-01,51.4,79.1,6.4,0.0,1023.8
2012-03-02,50.2,81.1,6.9,0.008,1025.6
2012-03-03,51.2,76.0,15.1,0.004,1023.3
2012-03-04,53.2,79.2,8.8,0.0,1020.1
2012-03-05,50.6,66.6,14.3,0.084,1013.5
2012-03-06,45.6,66.8,10.5,0.138,1016.0
2012-03-07,47.4,63.1,9.1,0.0,1023.5
2012-03-08,49.6,66.7,14.0,0.0,1017.8
2012-03-09,50.0,54.4,11.2,0.0,1027.8
2012-03-10,48.9,55.0,9.4,0.0,1027.9
2012-03-11,50.0,56.9,6.7,0.0,1021.5
2012-03-12,53.9,57.0,7.4,0.0,1020.1
2012-03-13,52.8,73.1,8.4,0.0,1023.3
2012-03-14,51.7,75.4,8.8,0.0,1026.2
2012-03-15,50.7,81.3,7.3,0.004,1028.1
2012-03-16,53.9,76.9,9.1,0.0,1029.1
2012-03-17,53.7,74.7,12.8,0.0,1025.8
2012-03-18,54.5,75.1,8.6,0.054,1022.2
2012-03-19,53.4,60.8,18.1,0.007,1022.9
2012-03-20,54.1,56.4,9.6,0.005,1030.2
2012-03-21,60.0,50.0,15.1,0.0,1029.4
2012-03-22,58.1,51.5,13.8,0.0,1026.7
2012-03-23,56.2,64.2,11.6,0.0,1024.9
2012-03-24,55.2,61.1,8.5,0.009,1023.0
2012-03-25,55.9,57.5,7.3,0.003,1023.8
2012-03-26,58.8,51.4,7.0,0.0,1026.4
2012-03-27,58.7,47.3,8.3,0.0,1026.4
2012-03-28,57.3,49.3,8.3,0.0,1024.7
2012-03-29,57.2,58.3,7.8,0.0,1018.1
2012-03-30,56.0,75.4,9.1,0.004,1011.3
2012-03-31,56.3,76.1,10.9,0.0,1008.3
2012-04-01,58.8,71.4,10.3,0.0,1006.5
2012-04-02,55.7,74.8,12.0,0.0,1010.2
2012-04-03,58.3,77.9,10.6,0.004,1009.2
2012-04-04,55.5,86.5,5.0,0.71,1007.8
2012-04-05,56.6,85.0,11.4,0.163,1008.4
2012-04-06,56.2,81.1,14.2,0.008,1009.1
2012-04-07,57.7,66.6,18.2,0.028,1004.4
2012-04-08,56.9,53.4,14.9,0.0,1001.6
2012-04-09,52.9,61.9,8.7,0.0,1011.1
2012-04-10,52.9,78.7,10.4,0.74,1009.1
2012-04-11,56.5,58.8,16.8,0.635,1000.9
2012-04-12,56.2,62.8,13.9,0.0,1003.9
2012-04-13,55.6,75.4,7.7,0.262,999.6
2012-04-14,52.4,82.3,6.3,0.572,996.2
2012-04-15,52.5,76.8,10.2,0.041,997.3
2012-04-16,53.6,71.4,10.1,0.039,1004.3
2012-04-17,56.7,58.0,15.2,0.0,1006.7
2012-04-18,56.5,48.5,19.7,0.0,999.6
2012-04-19,56.4,62.4,14.9,0.005,996.4
2012-04-20,57.2,48.9,16.7,0.0,999.3
2012-04-21,60.2,48.0,18.8,0.012,1007.6
2012-04-22,60.4,45.3,19.0,0.014,1009.2
2012-04-23,58.2,48.3,18.3,0.02,1008.7
2012-04-24,56.7,55.9,19.4,0.363,1004.0
2012-04-25,56.1,58.4,17.0,0.0,1012.0
2012-04-26,57.1,66.4,15.9,0.0,1016.4
2012-04-27,64.7,55.7,12.6,0.0,1018.2
2012-04-28,67.2,51.2,14.5,0.0,1013.9
2012-04-29,62.5,72.5,12.8,0.535,1015.3
2012-04-30,56.5,88.5,9.2,1.612,1015.5
2012-05-01,56.7,77.7,8.2,0.018,1016.1
2012-05-02,58.3,73.6,14.1,0.0,1016.9
2012-05-03,57.7,72.7,9.3,0.0,1013.3
2012-05-04,58.5,76.3,14.1,0.0,1010.5
2012-05-05,61.0,81.1,11.1,0.022,1009.5
2012-05-06,58.8,81.9,6.3,0.243,1010.7
2012-05-07,60.4,70.6,10.5,0.002,1014.9
2012-05-08,59.5,77.0,9.7,0.005,1019.3
2012-05-09,61.9,78.5,8.0,0.0,1020.4
2012-05-10,64.3,75.8,7.2,0.0,1024.2
2012-05-11,68.7,65.7,6.6,0.002,1024.6
2012-05-12,69.7,64.9,9.1,0.0,1020.0
2012-05-13,65.1,71.8,11.2,0.099,1014.0
2012-05-14,60.6,69.2,10.5,0.005,1014.8
2012-05-15,60.4,64.0,14.3,0.0,1010.6
2012-05-16,61.2,45.1,20.5,0.0,1012.7
2012-05-17,58.4,53.2,13.9,0.0,1017.9
2012-05-18,58.2,62.4,5.5,0.092,1016.1
2012-05-19,61.7,56.9,16.6,0.011,1013.1
2012-05-20,62.1,63.0,16.9,0.689,1008.8
2012-05-21,55.5,87.3,5.6,0.935,1003.1
2012-05-22,56.7,81.4,6.6,0.141,1008.0
2012-05-23,63.0,73.7,7.3,0.0,1014.0
2012-05-24,68.0,70.9,7.1,0.055,1017.1
2012-05-25,68.2,66.1,14.6,0.047,1015.4
2012-05-26,67.3,66.7,7.8,0.062,1016.2
2012-05-27,64.1,78.7,8.1,0.502,1017.0
2012-05-28,66.0,75.2,8.0,0.001,1014.5
2012-05-29,66.2,78.4,8.9,0.088,1014.1
2012-05-30,67.3,79.1,7.9,0.008,1017.3
2012-05-31,68.3,79.1,9.6,0.004,1018.2
2012-06-01,69.1,78.3,8.3,0.039,1015.4
2012-06-02,69.9,78.2,7.7,0.006,1015.4
2012-06-03,70.7,74.1,11.1,0.007,1014.4
2012-06-04,69.4,59.6,18.6,0.0,1008.7
2012-06-05,66.9,60.3,8.7,0.0,1011.8
2012-06-06,66.1,75.1,12.1,0.0,1013.0
2012-06-07,69.3,74.2,9.6,0.004,1012.3
2012-06-08,70.7,69.3,11.2,0.0,1010.3
2012-06-09,69.8,65.0,10.4,0.0,1011.8
2012-06-10,71.6,43.7,17.5,0.001,1009.7
2012-06-11,72.3,50.6,16.9,0.053,1005.2
2012-06-12,69.1,47.7,21.4,0.036,1004.2
2012-06-13,68.9,44.5,17.8,0.0,1011.5
2012-06-14,66.6,68.8,12.0,0.0,1017.3
2012-06-15,66.9,72.0,8.3,0.008,1020.7
2012-06-16,70.9,59.7,7.7,0.0,1020.4
2012-06-17,72.8,58.2,8.4,0.0,1018.6
2012-06-18,73.9,54.6,6.8,0.0,1017.1
2012-06-19,75.2,51.6,7.2,0.0,1015.7
2012-06-20,75.2,60.5,12.4,0.004,1012.7
2012-06-21,74.2,64.1,10.7,0.0,1010.5
